Column1;Column2;Column3;Column4
9/12/2022/10:56:42;21.70;59.50;1
9/12/2022/12:2:31;21.75;56.50;1
9/12/2022/12:7:32;21.75;57.00;1
9/12/2022/12:12:33;21.80;60.00;1
9/12/2022/12:23:40;21.65;56.50;1
9/12/2022/12:28:41;21.85;56.50;1
9/12/2022/12:33:42;21.80;56.50;1
9/12/2022/12:38:43;21.90;56.50;1
9/12/2022/12:43:45;21.90;57.50;1
9/12/2022/12:48:46;21.95;64.00;1
9/12/2022/12:53:47;21.90;64.50;1
9/12/2022/12:58:48;21.90;63.00;1
9/12/2022/12:3:50;21.95;63.00;1
9/12/2022/12:8:51;21.90;63.00;1
9/12/2022/12:13:52;21.95;63.00;1
9/12/2022/12:18:53;22.00;62.50;1
9/12/2022/12:23:54;22.00;62.50;1
9/12/2022/12:28:56;21.90;60.00;1
9/12/2022/12:33:57;21.95;57.50;1
9/12/2022/12:38:58;21.95;56.00;1
9/12/2022/12:43:59;21.90;55.50;1
9/12/2022/12:49:1;21.90;55.50;1
9/12/2022/12:54:2;21.95;55.50;1
9/12/2022/12:59:3;22.00;55.50;1
9/12/2022/13:4:4;22.00;55.00;1
9/12/2022/13:9:5;21.95;55.50;1
9/12/2022/13:15:34;22.00;56.50;1
9/12/2022/13:20:35;21.95;56.50;1
9/12/2022/13:25:36;21.90;56.50;1
9/12/2022/13:30:37;21.85;56.00;1
9/12/2022/13:35:39;21.95;55.50;1
9/12/2022/13:40:40;21.95;56.50;1
9/12/2022/13:45:41;21.85;56.00;1
9/12/2022/13:56:12;21.95;56.00;1
9/12/2022/14:1:12;21.95;56.00;1
9/12/2022/14:6:13;21.85;55.50;1
9/12/2022/14:12:14;21.95;55.50;1
9/12/2022/17:49:4;21.20;64.00;1
9/12/2022/17:54:5;21.20;64.00;1
9/12/2022/17:59:6;21.15;64.00;1
9/12/2022/18:4:7;21.10;63.50;1
9/12/2022/18:9:9;21.05;59.50;1
9/12/2022/18:14:10;21.05;57.00;1
9/12/2022/18:19:12;21.10;56.50;1
9/12/2022/18:24:12;21.20;56.50;1
9/12/2022/18:29:14;21.15;56.50;1
9/12/2022/18:34:15;21.00;57.50;1
9/12/2022/18:39:16;21.00;56.50;1
9/12/2022/18:44:17;21.15;56.50;1
9/12/2022/18:49:18;21.10;56.50;1
9/12/2022/18:54:20;21.05;57.00;1
9/12/2022/18:59:21;20.95;57.00;1
9/12/2022/19:4:22;20.35;58.00;1
9/12/2022/19:9:23;20.30;60.50;1
9/12/2022/19:14:24;20.35;63.00;1
9/12/2022/19:19:26;20.45;60.00;1
9/12/2022/19:24:27;20.30;59.00;1
9/12/2022/19:29:28;20.35;60.00;1
9/12/2022/19:34:29;20.30;60.50;1
9/12/2022/19:39:31;20.25;63.00;1
9/12/2022/19:44:32;20.20;63.00;1
9/12/2022/19:49:33;20.25;63.00;1
9/12/2022/19:54:34;20.20;63.00;1
9/12/2022/19:59:36;20.20;63.00;1
9/12/2022/20:4:37;20.20;63.00;1
9/12/2022/20:9:38;20.25;63.00;1
9/12/2022/20:14:39;20.45;60.50;1
9/12/2022/20:19:40;20.35;60.50;1
9/12/2022/20:24:42;20.30;61.00;1
9/12/2022/20:29:43;20.25;61.00;1
9/12/2022/20:34:44;20.20;63.00;1
9/12/2022/20:39:45;20.25;63.00;1
9/12/2022/20:44:47;20.30;60.50;1
9/12/2022/20:49:48;20.25;61.00;1
9/12/2022/20:54:49;20.20;63.00;1
9/12/2022/20:59:50;20.20;63.00;1
9/12/2022/21:4:51;20.15;63.00;1
9/12/2022/21:9:53;20.15;63.00;1
9/12/2022/21:14:54;20.10;63.00;1
9/12/2022/21:19:55;20.15;63.00;1
9/12/2022/21:24:56;20.10;63.00;1
9/12/2022/21:29:58;20.15;63.00;1
9/12/2022/21:34:59;20.10;63.00;1
9/12/2022/21:40:0;20.15;63.00;1
9/12/2022/21:45:1;20.10;63.00;1
9/12/2022/21:50:2;20.10;63.00;1
9/12/2022/21:55:4;20.20;63.00;1
9/12/2022/22:0:5;20.20;61.00;1
9/12/2022/22:5:6;20.10;63.00;1
9/12/2022/22:10:7;20.10;63.00;1
9/12/2022/22:15:9;20.00;63.50;1
9/12/2022/22:20:10;19.95;63.50;1
9/12/2022/22:25:12;19.95;63.00;1
9/12/2022/22:30:12;19.40;64.00;1
9/12/2022/22:35:13;19.35;64.50;1
9/12/2022/22:40:15;19.35;64.50;1
9/12/2022/22:45:16;19.95;63.50;1
9/12/2022/22:50:17;20.05;63.00;1
9/12/2022/22:55:18;20.05;63.00;1
9/12/2022/23:0:20;20.05;63.00;1
9/12/2022/23:5:21;19.95;62.50;1
9/12/2022/23:10:22;19.45;63.00;1
9/12/2022/23:15:23;19.95;62.50;1
9/12/2022/23:20:24;19.95;62.50;1
9/12/2022/23:25:26;19.95;62.50;1
9/12/2022/23:30:27;20.10;61.00;1
9/12/2022/23:35:28;20.00;60.50;1
9/12/2022/23:40:29;19.95;60.50;1
9/12/2022/23:45:31;19.40;61.00;1
9/12/2022/23:50:32;19.40;63.00;1
9/12/2022/23:55:33;19.40;62.50;1
10/12/2022/0:0:34;19.35;63.00;1
10/12/2022/0:5:35;19.35;63.00;1
10/12/2022/0:10:37;19.35;63.00;1
10/12/2022/0:15:38;19.30;63.00;1
10/12/2022/0:20:39;19.30;63.00;1
10/12/2022/0:25:40;19.25;63.00;1
10/12/2022/0:30:41;19.25;63.00;1
10/12/2022/0:35:43;19.25;60.50;1
10/12/2022/0:40:44;19.25;60.50;1
10/12/2022/0:45:45;19.20;63.00;1
10/12/2022/0:50:46;19.25;62.50;1
10/12/2022/0:55:48;19.20;61.00;1
10/12/2022/1:0:49;19.25;63.00;1
10/12/2022/1:5:50;19.25;61.00;1
10/12/2022/1:10:51;19.25;63.00;1
10/12/2022/1:15:52;19.25;63.00;1
10/12/2022/1:20:54;19.30;63.00;1
10/12/2022/1:25:55;19.35;63.00;1
10/12/2022/1:30:56;19.35;63.00;1
10/12/2022/1:35:57;19.40;61.00;1
10/12/2022/1:40:58;19.35;63.00;1
10/12/2022/1:46:0;19.40;63.00;1
10/12/2022/1:51:1;19.45;62.50;1
10/12/2022/1:56:2;19.95;60.00;1
10/12/2022/2:1:3;20.00;60.50;1
10/12/2022/2:6:5;19.40;63.00;1
10/12/2022/2:12:6;19.95;62.50;1
10/12/2022/2:16:7;20.00;61.00;1
10/12/2022/2:21:8;19.45;62.50;1
10/12/2022/2:26:9;19.40;63.00;1
10/12/2022/2:31:12;19.40;63.00;1
10/12/2022/2:36:12;19.95;60.50;1
10/12/2022/2:41:13;19.40;63.00;1
10/12/2022/2:46:14;19.40;63.00;1
10/12/2022/2:51:16;19.95;62.00;1
10/12/2022/2:56:17;20.00;60.50;1
10/12/2022/3:1:18;20.00;60.50;1
10/12/2022/3:6:19;19.45;61.00;1
10/12/2022/3:12:20;19.35;63.00;1
10/12/2022/3:16:22;19.95;62.50;1
10/12/2022/3:21:23;20.00;61.00;1
10/12/2022/3:26:24;19.95;60.00;1
10/12/2022/3:31:25;20.00;60.50;1
10/12/2022/3:36:27;19.95;60.00;1
10/12/2022/3:41:28;19.95;60.50;1
10/12/2022/3:46:29;19.40;63.00;1
10/12/2022/3:51:30;19.40;63.00;1
10/12/2022/3:56:31;19.30;63.00;1
10/12/2022/4:1:33;19.35;63.00;1
10/12/2022/4:6:34;19.40;63.00;1
10/12/2022/4:12:35;19.95;62.50;1
10/12/2022/4:16:36;19.40;63.00;1
10/12/2022/4:21:38;19.35;63.00;1
10/12/2022/4:26:39;19.25;63.50;1
10/12/2022/4:31:40;19.30;63.50;1
10/12/2022/4:36:41;19.25;63.50;1
10/12/2022/4:41:42;19.35;63.50;1
10/12/2022/4:46:44;19.25;63.00;1
10/12/2022/4:51:45;19.20;63.50;1
10/12/2022/4:56:46;19.25;63.00;1
10/12/2022/5:1:47;19.20;63.00;1
10/12/2022/5:6:48;19.10;63.50;1
10/12/2022/5:12:50;19.20;63.50;1
10/12/2022/5:16:51;19.25;63.00;1
10/12/2022/5:21:52;19.25;63.00;1
10/12/2022/5:26:53;19.30;63.00;1
10/12/2022/5:31:55;19.20;63.00;1
10/12/2022/5:36:56;19.20;63.50;1
10/12/2022/5:41:57;19.25;63.00;1
10/12/2022/5:46:58;19.35;63.00;1
10/12/2022/5:51:59;19.20;63.00;1
10/12/2022/5:57:1;19.20;63.00;1
10/12/2022/6:2:2;19.30;63.00;1
10/12/2022/6:7:3;19.25;62.50;1
10/12/2022/6:12:4;19.20;63.00;1
10/12/2022/6:17:5;19.20;63.00;1
10/12/2022/6:22:7;19.25;63.00;1
10/12/2022/6:27:8;19.30;62.50;1
10/12/2022/6:32:9;19.35;61.00;1
10/12/2022/6:37:10;19.40;60.50;1
10/12/2022/6:42:12;19.40;60.50;1
10/12/2022/6:47:13;19.30;63.00;1
10/12/2022/6:52:14;19.35;63.00;1
10/12/2022/6:57:15;19.35;63.00;1
10/12/2022/7:2:16;19.30;63.00;1
10/12/2022/7:7:18;19.35;63.00;1
10/12/2022/7:12:19;19.40;63.00;1
10/12/2022/7:17:20;19.95;62.50;1
10/12/2022/7:22:21;19.95;62.50;1
10/12/2022/7:27:22;19.95;62.50;1
10/12/2022/7:32:24;19.95;62.50;1
10/12/2022/7:37:25;19.95;62.50;1
10/12/2022/7:42:26;19.95;63.00;1
10/12/2022/7:47:27;19.40;64.50;1
10/12/2022/7:52:29;19.45;67.00;1
10/12/2022/7:57:30;19.90;66.00;1
10/12/2022/8:2:31;19.40;66.00;1
10/12/2022/8:7:32;19.95;65.00;1
10/12/2022/8:12:33;20.00;65.00;1
10/12/2022/8:17:35;20.00;64.50;1
10/12/2022/8:22:36;20.05;63.00;1
10/12/2022/8:27:37;20.10;57.50;1
10/12/2022/8:32:38;19.15;58.00;1
10/12/2022/8:37:39;20.15;63.00;1
10/12/2022/8:42:41;20.15;63.00;1
10/12/2022/8:47:42;20.15;63.00;1
10/12/2022/8:52:43;19.20;58.00;1
10/12/2022/8:57:44;20.20;57.50;1
10/12/2022/9:2:46;20.25;56.50;1
10/12/2022/9:7:47;19.30;56.50;1
10/12/2022/9:12:48;20.35;56.00;1
10/12/2022/9:17:49;19.95;54.50;1
10/12/2022/9:22:50;19.95;54.00;1
10/12/2022/9:27:52;20.00;54.50;1
10/12/2022/9:32:53;20.05;55.00;1
10/12/2022/9:37:54;20.10;54.50;1
10/12/2022/9:42:55;20.15;53.50;1
10/12/2022/9:47:57;20.15;52.00;1
10/12/2022/9:52:58;20.80;51.50;1
10/12/2022/9:57:59;20.85;51.50;1
10/12/2022/10:3:0;20.90;51.50;1
10/12/2022/10:8:1;20.95;51.50;1
10/12/2022/10:13:3;21.05;52.50;1
10/12/2022/12:50:31;22.20;51.50;1
10/12/2022/12:55:32;22.80;50.50;1
10/12/2022/12:0:33;22.85;50.50;1
10/12/2022/12:5:34;22.85;49.50;1
10/12/2022/12:10:36;22.85;50.00;1
10/12/2022/12:15:37;22.85;50.00;1
10/12/2022/12:20:38;22.85;49.50;1
10/12/2022/12:25:39;22.90;49.00;1
10/12/2022/12:30:41;22.90;48.50;1
10/12/2022/12:35:42;22.90;48.50;1
10/12/2022/12:40:43;22.90;48.50;1
10/12/2022/12:45:44;22.95;48.00;1
10/12/2022/12:50:45;22.95;48.00;1
10/12/2022/12:55:47;22.95;48.00;1
10/12/2022/13:0:48;23.00;48.00;1
10/12/2022/13:5:49;23.05;48.00;1
10/12/2022/13:10:50;23.15;48.50;1
10/12/2022/13:15:51;23.20;47.50;1
10/12/2022/13:20:53;23.20;47.00;1
10/12/2022/13:25:54;23.15;46.00;1
10/12/2022/13:30:55;23.15;46.50;1
10/12/2022/13:35:56;23.05;46.50;1
10/12/2022/13:40:58;23.05;47.00;1
10/12/2022/13:45:59;23.05;46.50;1
10/12/2022/13:51:0;23.00;46.50;1
10/12/2022/13:56:1;23.05;47.00;1
10/12/2022/14:1:2;23.00;47.50;1
10/12/2022/14:6:4;23.00;47.50;1
10/12/2022/14:12:5;23.00;47.50;1
10/12/2022/14:16:6;22.95;47.50;1
10/12/2022/14:21:7;22.90;48.00;1
10/12/2022/14:26:8;22.95;48.00;1
10/12/2022/14:31:10;22.90;48.00;1
10/12/2022/14:36:12;22.90;48.50;1
10/12/2022/14:41:12;22.90;48.50;1
10/12/2022/14:46:13;22.90;48.50;1
10/12/2022/14:51:15;22.90;48.50;1
10/12/2022/14:56:16;22.90;48.50;1
10/12/2022/15:1:17;22.95;48.50;1
10/12/2022/15:6:18;22.90;48.50;1
10/12/2022/15:12:19;22.90;48.50;1
10/12/2022/15:16:21;22.90;48.50;1
10/12/2022/15:21:22;22.90;49.00;1
10/12/2022/15:26:23;22.95;50.50;1
10/12/2022/15:31:24;22.95;50.50;1
10/12/2022/15:36:25;22.90;49.50;1
10/12/2022/15:41:27;22.90;49.50;1
10/12/2022/15:46:28;22.90;50.50;1
10/12/2022/15:51:29;22.90;50.50;1
10/12/2022/15:56:30;22.90;50.50;1
10/12/2022/16:1:31;22.90;50.50;1
10/12/2022/16:6:33;22.90;50.50;1
10/12/2022/16:12:34;22.90;50.00;1
10/12/2022/16:16:35;22.90;50.00;1
10/12/2022/16:21:36;22.90;50.50;1
10/12/2022/16:26:38;22.90;50.50;1
10/12/2022/16:31:39;22.90;50.50;1
10/12/2022/16:36:40;22.85;51.00;1
10/12/2022/16:41:41;22.85;51.00;1
10/12/2022/16:46:42;22.80;51.50;1
10/12/2022/16:51:44;22.80;51.50;1
10/12/2022/16:56:45;22.30;52.00;1
10/12/2022/17:1:46;22.30;52.50;1
10/12/2022/17:6:47;22.25;52.50;1
10/12/2022/17:12:49;22.25;52.50;1
10/12/2022/17:16:50;22.20;52.50;1
10/12/2022/17:21:51;22.20;52.50;1
10/12/2022/17:26:52;22.20;52.50;1
10/12/2022/17:31:53;22.20;52.50;1
10/12/2022/17:36:55;22.15;52.50;1
10/12/2022/17:41:56;22.10;52.00;1
10/12/2022/17:46:57;21.95;52.50;1
10/12/2022/17:51:58;21.95;52.50;1
10/12/2022/17:57:0;21.85;53.00;1
10/12/2022/18:2:1;21.85;53.00;1
10/12/2022/18:7:2;21.95;53.00;1
10/12/2022/18:12:3;21.95;52.50;1
10/12/2022/18:17:5;21.25;53.50;1
10/12/2022/18:22:6;21.25;53.50;1
10/12/2022/18:27:7;21.25;53.50;1
10/12/2022/18:32:8;21.10;54.00;1
10/12/2022/18:37:9;21.05;54.00;1
10/12/2022/18:42:12;21.05;54.00;1
10/12/2022/18:47:12;21.00;55.00;1
10/12/2022/18:52:13;21.00;55.00;1
10/12/2022/18:57:14;20.95;55.00;1
10/12/2022/19:2:16;20.90;55.00;1
10/12/2022/19:7:17;20.90;55.00;1
10/12/2022/19:12:18;20.90;55.00;1
10/12/2022/19:17:19;20.90;54.50;1
10/12/2022/19:22:20;21.35;55.00;1
10/12/2022/19:27:22;20.80;54.00;1
10/12/2022/19:32:23;20.80;54.00;1
10/12/2022/19:37:24;20.95;54.00;1
10/12/2022/19:42:25;20.90;54.00;1
10/12/2022/19:47:27;20.85;54.00;1
10/12/2022/19:52:28;20.75;55.00;1
10/12/2022/19:57:29;20.80;55.00;1
10/12/2022/20:2:30;20.95;54.00;1
10/12/2022/20:7:31;20.95;54.00;1
10/12/2022/20:12:33;20.80;55.00;1
10/12/2022/20:17:34;21.20;56.00;1
10/12/2022/20:22:35;20.20;56.00;1
10/12/2022/20:27:36;20.75;55.00;1
10/12/2022/20:32:38;20.20;55.50;1
10/12/2022/20:37:39;20.20;55.50;1
10/12/2022/20:42:40;20.20;55.50;1
10/12/2022/20:47:41;20.20;55.50;1
10/12/2022/20:52:42;20.20;55.50;1
10/12/2022/20:57:44;20.15;56.00;1
10/12/2022/21:2:45;20.20;55.50;1
10/12/2022/21:7:46;21.15;56.00;1
10/12/2022/21:12:47;20.10;56.50;1
10/12/2022/21:17:48;20.05;56.50;1
10/12/2022/21:22:50;20.10;56.50;1
10/12/2022/21:27:51;20.15;56.00;1
10/12/2022/21:32:52;20.10;56.00;1
10/12/2022/21:37:53;20.10;56.50;1
10/12/2022/21:42:55;20.10;56.50;1
10/12/2022/21:47:56;20.10;56.50;1
10/12/2022/21:52:57;20.10;56.00;1
10/12/2022/21:57:58;20.05;56.50;1
10/12/2022/22:2:59;20.00;57.50;1
10/12/2022/22:8:1;20.95;56.50;1
10/12/2022/22:13:2;20.45;56.50;1
10/12/2022/22:18:3;19.95;57.00;1
10/12/2022/22:23:4;19.95;57.00;1
10/12/2022/22:28:6;20.95;56.50;1
10/12/2022/22:33:7;20.35;57.50;1
10/12/2022/22:38:8;20.35;58.50;1
10/12/2022/22:43:9;19.35;57.50;1
10/12/2022/22:48:10;19.40;57.50;1
10/12/2022/22:53:12;20.35;58.50;1
10/12/2022/22:58:13;19.30;58.00;1
10/12/2022/23:3:14;19.95;57.00;1
10/12/2022/23:8:15;20.00;57.50;1
10/12/2022/23:13:17;19.95;57.50;1
10/12/2022/23:18:18;19.95;57.50;1
10/12/2022/23:23:19;20.00;57.50;1
10/12/2022/23:28:20;20.10;57.00;1
10/12/2022/23:33:21;20.05;57.50;1
10/12/2022/23:38:23;20.00;57.50;1
10/12/2022/23:43:24;20.10;57.00;1
10/12/2022/23:48:25;20.05;57.50;1
10/12/2022/23:53:26;20.00;57.50;1
10/12/2022/23:58:27;20.05;57.50;1
12/12/2022/0:3:29;20.00;57.50;1
12/12/2022/0:8:30;19.95;57.50;1
12/12/2022/0:13:31;20.35;63.00;1
12/12/2022/0:18:32;21.00;59.50;1
12/12/2022/0:23:34;21.00;58.50;1
12/12/2022/0:28:35;19.35;58.00;1
12/12/2022/0:33:36;20.45;63.00;1
12/12/2022/0:38:37;19.95;58.00;1
12/12/2022/0:43:38;19.35;58.00;1
12/12/2022/0:48:40;19.30;58.00;1
12/12/2022/0:53:41;20.40;63.00;1
12/12/2022/0:58:42;20.05;57.50;1
12/12/2022/1:3:43;20.00;58.00;1
12/12/2022/1:8:45;19.40;58.00;1
12/12/2022/1:13:46;19.30;58.00;1
12/12/2022/1:18:47;19.30;58.00;1
12/12/2022/1:23:48;20.35;63.50;1
12/12/2022/1:28:49;20.35;64.00;1
12/12/2022/1:33:51;19.40;58.00;1
12/12/2022/1:38:52;19.95;58.00;1
12/12/2022/1:43:53;19.95;58.00;1
12/12/2022/1:48:54;19.95;58.00;1
12/12/2022/1:53:56;19.95;58.00;1
12/12/2022/1:58:57;19.40;58.00;1
12/12/2022/2:3:58;20.30;63.50;1
12/12/2022/2:8:59;19.30;58.00;1
12/12/2022/2:14:0;19.95;58.00;1
12/12/2022/2:19:2;20.00;58.50;1
12/12/2022/2:24:3;19.40;58.00;1
12/12/2022/2:29:4;19.95;58.00;1
12/12/2022/2:34:5;20.00;58.00;1
12/12/2022/2:39:6;20.05;58.00;1
12/12/2022/2:44:8;20.00;58.50;1
12/12/2022/2:49:9;19.95;58.00;1
12/12/2022/2:54:10;19.35;58.00;1
12/12/2022/2:59:12;20.45;63.50;1
12/12/2022/3:4:13;19.95;58.00;1
12/12/2022/3:9:14;19.95;58.00;1
12/12/2022/3:14:15;19.95;58.00;1
12/12/2022/3:19:16;19.35;58.00;1
12/12/2022/3:24:17;19.95;58.00;1
12/12/2022/3:29:19;19.40;58.00;1
12/12/2022/3:34:20;20.35;63.50;1
12/12/2022/3:39:21;19.90;58.00;1
12/12/2022/3:44:22;19.95;58.00;1
12/12/2022/3:49:24;20.35;63.00;1
12/12/2022/3:54:25;19.30;58.00;1
12/12/2022/3:59:26;20.45;63.00;1
12/12/2022/4:4:27;19.35;58.00;1
12/12/2022/4:9:28;20.45;63.00;1
12/12/2022/4:14:30;19.95;58.00;1
12/12/2022/4:19:31;19.95;57.50;1
12/12/2022/4:24:32;19.95;58.00;1
12/12/2022/4:29:33;19.40;58.00;1
12/12/2022/4:34:35;19.35;58.00;1
12/12/2022/4:39:36;19.30;58.00;1
12/12/2022/4:44:37;20.25;64.50;1
12/12/2022/4:49:38;19.25;58.00;1
12/12/2022/4:54:39;19.20;59.50;1
12/12/2022/4:59:41;19.30;58.00;1
12/12/2022/5:4:42;19.25;58.00;1
12/12/2022/5:9:43;19.15;59.50;1
12/12/2022/5:14:44;19.20;61.00;1
12/12/2022/5:19:46;19.15;63.50;1
12/12/2022/5:24:47;19.20;60.50;1
12/12/2022/5:29:48;19.25;59.00;1
12/12/2022/5:34:49;19.30;58.00;1
12/12/2022/5:39:50;19.30;58.00;1
12/12/2022/5:44:52;19.25;59.00;1
12/12/2022/5:49:53;19.30;59.00;1
12/12/2022/5:54:54;19.30;58.00;1
12/12/2022/5:59:55;20.20;64.50;1
12/12/2022/6:4:57;19.25;58.00;1
12/12/2022/6:9:58;20.20;65.00;1
12/12/2022/6:14:59;19.10;63.50;1
12/12/2022/6:20:0;19.20;63.50;1
12/12/2022/6:25:1;19.20;59.00;1
12/12/2022/6:30:3;19.20;59.50;1
12/12/2022/6:35:4;20.15;65.00;1
12/12/2022/6:40:5;20.10;65.50;1
12/12/2022/6:45:6;20.05;66.00;1
12/12/2022/6:50:8;20.00;66.00;1
12/12/2022/6:55:9;20.05;66.00;1
12/12/2022/7:0:10;20.00;66.00;1
12/12/2022/7:5:12;19.10;63.50;1
12/12/2022/7:10:12;19.20;60.50;1
12/12/2022/7:15:14;19.25;58.00;1
12/12/2022/7:20:15;19.30;58.00;1
12/12/2022/7:25:16;19.30;58.00;1
12/12/2022/7:30:17;19.25;58.00;1
12/12/2022/7:35:19;19.20;61.00;1
12/12/2022/7:40:20;19.25;61.00;1
12/12/2022/7:45:21;19.35;58.00;1
12/12/2022/7:50:22;19.35;59.00;1
12/12/2022/7:55:23;20.45;64.50;1
12/12/2022/8:0:25;19.95;59.50;1
12/12/2022/8:5:26;19.95;58.00;1
12/12/2022/8:10:27;20.00;58.50;1
12/12/2022/8:15:28;20.00;58.50;1
12/12/2022/8:20:30;19.95;59.50;1
12/12/2022/8:25:31;19.95;59.50;1
12/12/2022/8:30:32;19.95;59.00;1
12/12/2022/8:35:33;19.95;58.00;1
12/12/2022/8:40:34;20.00;58.50;1
12/12/2022/8:45:36;20.10;58.50;1
12/12/2022/8:50:37;20.20;58.50;1
12/12/2022/8:55:38;20.20;58.50;1
12/12/2022/9:0:39;20.75;58.00;1
12/12/2022/9:5:41;20.80;59.00;1
12/12/2022/14:35:39;23.00;50.00;1
12/12/2022/14:40:41;23.05;49.50;1
12/12/2022/14:45:42;23.10;48.50;1
12/12/2022/14:50:43;23.10;50.00;1
12/12/2022/14:55:44;23.10;49.00;1
12/12/2022/15:0:46;23.10;49.50;1
12/12/2022/15:5:47;23.10;47.50;1
12/12/2022/15:10:48;23.10;48.50;1
12/12/2022/15:15:49;23.10;48.50;1
12/12/2022/15:20:50;23.10;48.00;1
12/12/2022/15:25:52;23.10;49.50;1
12/12/2022/15:30:53;23.10;49.50;1
12/12/2022/15:35:54;23.10;49.00;1
12/12/2022/15:40:55;23.05;48.00;1
12/12/2022/15:45:57;23.05;50.00;1
12/12/2022/15:50:58;23.05;49.50;1
12/12/2022/15:55:59;23.00;48.50;1
12/12/2022/16:1:0;22.95;48.00;1
12/12/2022/16:6:1;22.90;50.50;1
12/12/2022/16:12:3;22.30;52.00;1
12/12/2022/16:16:4;22.25;52.50;1
12/12/2022/16:21:5;22.20;54.00;1
12/12/2022/16:26:6;22.20;54.00;1
12/12/2022/16:31:7;22.20;54.00;1
12/12/2022/16:36:9;22.20;53.00;1
12/12/2022/16:41:10;22.20;53.50;1
12/12/2022/16:46:12;22.20;52.00;1
12/12/2022/16:51:12;22.15;54.00;1
12/12/2022/16:56:14;22.20;54.50;1
12/12/2022/17:1:15;22.15;54.50;1
12/12/2022/17:6:16;22.15;54.00;1
12/12/2022/17:12:17;22.10;54.00;1
12/12/2022/17:16:18;22.05;53.00;1
12/12/2022/17:21:20;22.00;50.50;1
12/12/2022/17:26:21;21.95;51.50;1
12/12/2022/17:31:22;21.90;51.00;1
12/12/2022/17:36:23;21.90;49.50;1
12/12/2022/17:41:24;21.90;50.00;1
12/12/2022/17:46:26;21.95;50.00;1
12/12/2022/17:51:27;21.85;49.50;1
12/12/2022/17:56:28;21.30;49.50;1
12/12/2022/18:1:29;21.30;49.00;1
12/12/2022/18:6:31;21.30;48.50;1
12/12/2022/18:12:32;21.30;50.00;1
12/12/2022/18:16:33;21.30;50.50;1
12/12/2022/18:21:34;21.20;49.00;1
12/12/2022/18:26:35;21.20;49.00;1
12/12/2022/18:31:37;21.25;52.50;1
12/12/2022/18:36:38;21.15;52.00;1
12/12/2022/18:41:39;21.15;47.00;1
12/12/2022/18:46:40;21.20;48.00;1
12/12/2022/18:51:42;21.20;49.50;1
12/12/2022/18:56:43;21.20;49.50;1
12/12/2022/19:1:44;21.15;50.50;1
12/12/2022/19:6:45;21.15;50.00;1
12/12/2022/19:12:46;21.05;50.50;1
12/12/2022/19:16:48;21.05;50.00;1
12/12/2022/19:21:49;21.05;51.00;1
12/12/2022/19:26:50;21.05;50.00;1
12/12/2022/19:31:51;21.00;49.50;1
12/12/2022/19:36:53;21.05;50.50;1
12/12/2022/19:41:54;21.05;48.50;1
12/12/2022/19:46:55;21.00;47.00;1
12/12/2022/19:51:56;21.00;47.50;1
